timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1694421251887,279,Ping - Health Check,201,Created,Thread Group 1-5,text,true,,248,229,4,4,https://restful-booker.herokuapp.com/ping,279,0,0
1694421251866,300,Update Booking,200,OK,Thread Group 1-6,text,true,,415,508,4,4,https://restful-booker.herokuapp.com/booking/1092,300,0,0
1694421252167,262,Partial Update Booking,200,OK,Thread Group 1-6,text,true,,414,316,3,3,https://restful-booker.herokuapp.com/booking/1092,262,0,0
1694421252430,263,Delete Booking,201,Created,Thread Group 1-6,text,true,,248,259,3,3,https://restful-booker.herokuapp.com/booking/1092,263,0,0
1694421252080,617,Get Booking ID,200,OK,Thread Group 1-7,text,true,,14004,232,3,3,https://restful-booker.herokuapp.com/booking,617,0,0
1694421252693,276,Ping - Health Check,201,Created,Thread Group 1-6,text,true,,248,229,3,3,https://restful-booker.herokuapp.com/ping,276,0,0
1694421252697,272,Get Specific Booking,200,OK,Thread Group 1-7,text,true,,411,236,3,3,https://restful-booker.herokuapp.com/booking/282,272,0,0
1694421252012,1067,Create Token,200,OK,Thread Group 1-8,text,true,,271,313,3,3,https://restful-booker.herokuapp.com/auth,1067,0,805
1694421252971,259,Create Booking,200,OK,Thread Group 1-7,text,true,,442,502,3,3,https://restful-booker.herokuapp.com/booking,259,0,0
1694421253079,259,Get Booking ID,200,OK,Thread Group 1-8,text,true,,14118,232,3,3,https://restful-booker.herokuapp.com/booking,259,0,0
1694421253231,269,Update Booking,200,OK,Thread Group 1-7,text,true,,415,508,3,3,https://restful-booker.herokuapp.com/booking/1100,263,0,0
1694421253339,254,Get Specific Booking,200,OK,Thread Group 1-8,text,true,,411,236,3,3,https://restful-booker.herokuapp.com/booking/282,254,0,0
1694421253502,271,Partial Update Booking,200,OK,Thread Group 1-7,text,true,,414,316,3,3,https://restful-booker.herokuapp.com/booking/1100,271,0,0
1694421253594,255,Create Booking,200,OK,Thread Group 1-8,text,true,,442,502,3,3,https://restful-booker.herokuapp.com/booking,255,0,0
1694421253775,260,Delete Booking,201,Created,Thread Group 1-7,text,true,,248,259,4,4,https://restful-booker.herokuapp.com/booking/1100,260,0,0
1694421253012,1052,Create Token,200,OK,Thread Group 1-9,text,true,,271,313,4,4,https://restful-booker.herokuapp.com/auth,1052,0,789
1694421253850,255,Update Booking,200,OK,Thread Group 1-8,text,true,,415,508,4,4,https://restful-booker.herokuapp.com/booking/1109,255,0,0
